JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460355.8549,8.149,0.002,,TG,PYG,,79,,AAVSO X35918BG,Y  SLOOH CHILE,0,,Z,7.90,,,V1723 SCO,BAA-VSS,STD,,,,
2460355.95208,8.3,,,Vis.,SLH,,79,86,x35895bd,,,,Z,,,,v1723 sco,AAVSO,STD,,,,
2460356.28329,9.448,0.013,,B,YBA,,121,115,X35973FN,|OBSERVAT=PERTH OBSERVATORY|CDEC=-38.1100555555556|CMAGINS=-6.913|CRA=261.557208333333|CREFERR=0.099|CREFMAG=12.652|KDEC=-38.1551666666667|KMAGINS=-7.473|KMAGSTD=12.091|KRA=261.527791666667|KREFERR=0.104|KREFMAG=12.104|VMAGINS=-10.116,0,2.152,Z,-6.913,-7.473,,V1723 SCO,AAVSO,STD,,,,
2460356.28377,8.312,0.026,,V,YBA,,127,115,X35973FO,|OBSERVAT=PERTH OBSERVATORY|CDEC=-38.23519|CMAGINS=-6.927|CRA=261.66448|CREFERR=0.024|CREFMAG=12.701|KDEC=-38.15498|KMAGINS=-8.095|KMAGSTD=11.534|KRA=261.52716|KREFERR=0.021|KREFMAG=11.521|VMAGINS=-11.316,0,2.140,Z,-6.927,-8.095,,V1723 SCO,AAVSO,STD,,,,
2460356.28417,6.840,0.006,,R,YBA,,111A,115A_1,240218,|OBSERVAT=PERTH OBSERVATORY|CDEC=-38.21743|CMAGINS=-9.188|CRA=261.62659|CREFERR=0.165|CREFMAG=10.482|KDEC=-38.19731|KMAGINS=-8.652|KMAGSTD=11.018|KRA=261.58204|KREFERR=0.241|KREFMAG=10.901|VMAGINS=-12.830,0,2.132,Z,-9.188,-8.652,,V1723 SCO,AAVSO,STD,,,,
2460356.384079,7.014,0.117,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.226,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.384079,7.939,0.031,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.226,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.384079,8.884,0.606,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.226,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.385153,6.943,0.112,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.211,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.385153,7.942,0.050,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.211,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
