JD,Magnitude,Uncertainty,Observer
2460359.872145,8.66453435623749,0.002,RFDA
2460359.872602,8.56253435623749,0.003,RFDA
2460359.873061,8.58453435623749,0.002,RFDA
2460359.873518,8.67153435623749,0.002,RFDA
2460359.873974,8.659534356237492,0.002,RFDA
2460359.874431,8.651534356237491,0.002,RFDA
2460359.874894,8.67453435623749,0.002,RFDA
2460359.875357,8.64253435623749,0.003,RFDA
2460359.87581,8.739534356237492,0.002,RFDA
2460359.876266,8.697534356237492,0.002,RFDA
2460359.876724,8.63953435623749,0.002,RFDA
2460359.877185,8.715534356237491,0.002,RFDA
2460359.877643,8.673534356237491,0.002,RFDA
2460359.878102,8.692534356237491,0.002,RFDA
2460359.878624,8.60053435623749,0.002,RFDA
2460359.879082,8.75753435623749,0.002,RFDA
2460359.879541,8.733534356237492,0.002,RFDA
2460359.879997,8.69653435623749,0.002,RFDA
2460359.880457,8.64853435623749,0.002,RFDA
2460359.880911,8.681534356237492,0.002,RFDA
2460359.88137,8.737534356237491,0.002,RFDA
2460359.881828,8.775534356237491,0.002,RFDA
2460359.882291,8.82553435623749,0.002,RFDA
2460359.882746,8.925534356237492,0.002,RFDA
2460359.883196,8.787534356237492,0.002,RFDA
2460359.896713,9.826,0.008,HMB
2460359.896782,9.887,0.008,HMB
2460360.33676,9.279240827218144,0.001,PEX
2460360.33765,9.268240827218145,0.001,PEX
2460360.33881,9.291240827218145,0.001,PEX
2460360.33972,9.272240827218145,0.001,PEX
2460360.34065,9.254240827218146,0.001,PEX
2460360.34155,9.280240827218146,0.001,PEX
2460360.896736,10.017,0.008,HMB
2460360.896817,10.032,0.008,HMB
2460361.28867,10.208240827218145,0.001,PEX
2460361.2936,10.091168779186123,0.007,YBA
2460361.34353,9.360240827218146,0.001,PEX
2460361.34456,9.383240827218145,0.001,PEX
2460361.34547,9.386240827218145,0.001,PEX
2460361.34637,9.380240827218145,0.001,PEX
2460361.34733,9.430240827218146,0.001,PEX
2460361.3484,9.403240827218145,0.001,PEX
2460364.87802,10.595786524349567,0.118,LBEC
2460364.89122,10.698786524349567,0.044,LBEC
2460364.898819,10.62,0.009,HMB
2460364.8989,10.574,0.009,HMB
2460365.88088,10.910786524349566,0.030,LBEC
2460365.88122,10.721786524349566,0.044,LBEC
2460366.88106,10.607786524349567,0.054,LBEC
2460367.87503,11.115786524349566,0.017,LBEC
2460367.8851,10.867786524349567,0.097,LBEC
2460367.900255,10.938,0.012,HMB
2460367.900336,10.952,0.013,HMB
2460368.87796,10.955786524349566,0.106,LBEC
2460369.88464,11.059786524349567,0.031,LBEC
2460369.901042,11.095,0.013,HMB
2460369.901123,11.088,0.013,HMB
2460370.88837,11.124786524349567,0.082,LBEC
2460370.895382,11.188,0.013,HMB
2460370.895451,11.204,0.013,HMB
2460371.88843,11.196786524349566,0.030,LBEC
2460371.892627,11.267,0.014,HMB
2460371.892697,11.296,0.014,HMB
2460372.88807,11.240786524349566,0.043,LBEC
2460372.889757,11.294,0.014,HMB
2460372.889826,11.287,0.014,HMB
2460373.15954,11.331174116077385,0.02,NLX
2460373.82364,11.456198132088058,"0,01",CCT
2460373.889861,11.418,0.015,HMB
2460373.889931,11.402,0.015,HMB
2460374.18612,11.411174116077385,0.02,NLX
2460374.88811,11.500786524349566,0.059,LBEC
2460374.890579,11.486,0.016,HMB
2460374.89066,11.494,0.016,HMB
